Muestras,Insertar0,InsertarM,Insertar1,Buscar0,BuscarM,Buscar1,Eliminar0,EliminarM,Eliminar1
8500,0.0006,0.0003,0.0003,4.2833,4.1874,4.4124,0.0003,4.2205,4.2467
8550,0.0005,0.0003,0.0003,4.7805,4.2787,4.5608,0.0006,4.7888,4.5056
8600,0.0006,0.001,0.0003,6.379,5.9349,4.6841,0.0005,4.4389,4.4724
8650,0.0006,0.0004,0.0003,4.5836,4.5998,4.2814,0.0003,4.6859,4.9278
8700,0.0008,0.0006,0.0003,4.7417,4.594,4.7021,0.0004,4.4561,4.4017
8750,0.0005,0.0002,0.0002,5.5169,4.5093,4.397,0.0004,4.6428,4.3638
8800,0.0005,0.0002,0.0003,4.7452,4.4908,4.434,0.0004,4.4105,5.6205
8850,0.0004,0.0002,0.0003,4.435,4.5425,4.6042,0.0003,4.4773,4.5679
8900,0.0005,0.0003,0.0003,4.5768,4.6181,4.6359,0.0004,5.2629,5.1284
8950,0.001,0.0003,0.0003,4.5607,4.6669,4.9966,0.0005,5.1544,6.8408
9000,0.0005,0.0004,0.0003,5.3795,4.7373,4.9766,0.0005,4.5407,7.1479
9050,0.0005,0.0002,0.0003,5.2762,4.9291,4.4718,0.0004,4.5952,4.9932
9100,0.0005,0.0003,0.0003,4.643,5.9349,5.5722,0.0005,4.6282,4.7447
9150,0.0005,0.0002,0.0003,4.8618,4.721,4.7265,0.0003,4.9853,4.6253
9200,0.0012,0.0006,0.0003,5.2022,4.7487,5.2078,0.0004,5.2413,4.713
9250,0.0007,0.0008,0.0003,4.8026,4.7664,5.2824,0.0006,4.9976,4.848
9300,0.0008,0.0007,0.0003,4.973,4.848,5.5081,0.0009,5.8417,7.1245
9350,0.001,0.0009,0.0003,4.9392,4.9753,4.9052,0.0005,7.4111,6.2122
9400,0.0006,0.0003,0.0003,4.8523,4.859,4.7986,0.0006,5.1098,4.8055
9450,0.0007,0.0005,0.0003,6.0912,6.023,5.1279,0.0005,5.2702,4.8215
9500,0.001,0.001,0.0004,6.101,5.1472,4.8461,0.0004,4.9016,4.914
9550,0.0008,0.0003,0.0003,4.8907,4.8879,4.924,0.0005,4.906,6.2549
9600,0.0007,0.0004,0.0004,5.5977,5.393,5.8445,0.0009,5.8323,6.3665
9650,0.0007,0.0009,0.0003,5.4927,7.3601,6.2046,0.0007,5.2175,5.5566
9700,0.0012,0.0008,0.0003,6.5226,5.1722,5.7155,0.0005,6.2485,5.2931
9750,0.0005,0.0004,0.0003,5.6844,5.0285,4.9656,0.0004,5.0147,4.9889
9800,0.0011,0.0006,0.0003,5.0268,5.0784,5.0314,0.0005,5.9126,5.8107
9850,0.0008,0.0004,0.0003,5.2998,5.1741,5.0044,0.0006,5.0898,6.0136
9900,0.0006,0.0002,0.0003,5.1386,5.1416,5.0797,0.0012,6.6273,8.7258
9950,0.0018,0.0011,0.0005,7.3128,5.4595,5.6545,0.0006,5.5785,5.3242
10000,0.001,0.0004,0.0003,6.8009,5.3272,5.1635,0.0005,5.3589,5.123
10050,0.0007,0.0004,0.0004,6.2378,5.238,5.6539,0.0021,6.5369,5.1284
10100,0.001,0.0006,0.0003,5.7976,7.5854,5.5912,0.0006,6.1153,7.6213
10150,0.0005,0.0004,0.0003,5.172,5.2324,5.1486,0.0004,5.1313,5.239
10200,0.0005,0.0007,0.0004,5.8796,5.7121,5.4833,0.0012,5.471,5.5479
10250,0.0006,0.0005,0.0003,5.5387,6.0958,7.6326,0.0004,5.6405,5.6562
10300,0.0005,0.0004,0.0004,5.5972,6.0579,5.2514,0.0007,5.3044,5.1967
10350,0.001,0.0003,0.0003,5.7252,5.3276,5.2154,0.0005,5.7761,5.3183
10400,0.0005,0.0003,0.0003,5.1993,5.3713,5.2405,0.0005,5.2632,5.5737
10450,0.0009,0.0004,0.0003,5.3276,5.8199,5.3617,0.0005,5.2366,5.4024
10500,0.0006,0.0004,0.0003,5.5274,6.6432,5.4033,0.0005,5.3123,5.6788
10550,0.0005,0.0003,0.0003,5.363,6.7314,5.3392,0.0003,5.3115,5.6896
10600,0.0008,0.0003,0.0002,5.9604,5.5131,5.3641,0.0004,5.8011,6.4944
10650,0.0013,0.0003,0.0002,5.7383,5.4066,5.2928,0.0003,5.6834,6.4747
10700,0.0009,0.0003,0.0003,5.662,5.4034,5.3779,0.0004,5.7433,5.4353
10750,0.0004,0.0003,0.0003,6.9553,5.3274,5.7239,0.0005,5.6485,5.8798
10800,0.0009,0.001,0.0009,6.3415,5.6815,5.714,0.0004,5.7019,5.8883
10850,0.0005,0.0004,0.0003,5.5543,5.6404,6.8631,0.0005,5.6337,6.5708
10900,0.0008,0.0003,0.0003,5.5763,5.843,6.4084,0.0006,5.6906,8.0767
10950,0.0006,0.0006,0.0003,6.9162,7.4724,5.7216,0.0007,7.7259,5.5756
11000,0.0008,0.0013,0.0003,5.9256,5.6301,5.6937,0.0004,5.6506,5.6522
11050,0.0011,0.0003,0.0003,5.6668,5.7835,5.7275,0.0006,5.5992,6.2942
